"#","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Backorder","Unit Price","Extended Price"
"1","10","P464FCT-ND","ERJ-8ENF4640V","RES SMD 464 OHM 1% 1/4W 1206","","0","0.09700","0.97"
"2","10","P715FCT-ND","ERJ-8ENF7150V","RES SMD 715 OHM 1% 1/4W 1206","","0","0.09700","0.97"
"3","10","1276-5742-1-ND","RC3216F103CS","RES SMD 10K OHM 1% 1/4W 1206","","0","0.08300","0.83"
"4","10","541-37.4KFCT-ND","CRCW120637K4FKEA","RES SMD 37.4K OHM 1% 1/4W 1206","","0","0.07500","0.75"
"5","10","541-130KFCT-ND","CRCW1206130KFKEA","RES SMD 130K OHM 1% 1/4W 1206","","0","0.07500","0.75"
"6","10","541-665KFCT-ND","CRCW1206665KFKEA","RES SMD 665K OHM 1% 1/4W 1206","","0","0.07500","0.75"
"7","10","478-10233-1-ND","06031U220FAT2A","CAP CER 22PF 100V NP0 0603","","0","0.25300","2.53"
"8","10","478-6205-1-ND","06035C222JAT2A","CAP CER 2200PF 50V X7R 0603","","0","0.08500","0.85"
"9","4","PCE3485CT-ND","EEV-FK1J471M","CAP ALUM 470UF 20% 63V SMD","","0","2.08000","8.32"
"10","4","641-1126-1-ND","CDBC540-G","DIODE SCHOTTKY 40V 5A DO214AB","","0","0.74000","2.96"
"11","4","SRP1770TA-101MCT-ND","SRP1770TA-101M","FIXED IND 100UH 5.3A 118 MOHM","","0","4.10000","16.40"
"12","2","497-3468-1-ND","LD29150DT50R","IC REG LINEAR 5V 1.5A DPAK","","0","1.02000","2.04"
"13","10","478-1360-1-ND","08051C223KAT2A","CAP CER 0.022UF 100V X7R 0805","","0","0.11200","1.12"
"14","20","1276-1248-1-ND","CL21A475KBQNNNE","CAP CER 4.7UF 50V X5R 0805","","0","0.30900","6.18"
"15","20","PCE3946CT-ND","EEE-1JA470UP","CAP ALUM 47UF 20% 63V SMD","","0","0.42600","8.52"
"16","10","1276-1015-1-ND","CL21B103KBANNNC","CAP CER 10000PF 50V X7R 0805","","0","0.04300","0.43"
"17","100","478-5778-1-ND","06035C104JAT2A","CAP CER 0.1UF 50V X7R 0603","","0","0.09400","9.40"
"18","10","CR1206-FX-51R1ELFCT-ND","CR1206-FX-51R1ELF","RES SMD 51.1 OHM 1% 1/4W 1206","","0","0.09400","0.94"